location_name,sex_name,cause_name,measure_name,age_id,age_name,rate_1990,rate_2023,absolute_change,relative_change_pct
Sub-Saharan Africa,Male,Diabetes mellitus,Deaths,8,15-19 years,2.2770893639699,2.28692344909108,0.009834085121180003,0.4318708469146504
Sub-Saharan Africa,Male,Diabetes mellitus,DALYs (Disability-Adjusted Life Years),8,15-19 years,210.120144961495,222.503554806367,12.383409844872006,5.893490054055173
Sub-Saharan Africa,Male,Diabetes mellitus,YLDs (Years Lived with Disability),8,15-19 years,44.76620826903,56.5154065189,11.749198249869998,26.24568553865727
Sub-Saharan Africa,Male,Diabetes mellitus,YLLs (Years of Life Lost),8,15-19 years,165.353936692458,165.988148287465,0.6342115950070024,0.38354792615948874
Sub-Saharan Africa,Male,Diabetes mellitus,Prevalence,8,15-19 years,863.47992570666,1090.01971318898,226.53978748231998,26.23567505601512
Sub-Saharan Africa,Male,Diabetes mellitus,Incidence,8,15-19 years,109.64366014633,154.41246841626,44.76880826992999,40.83118733010345
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Deaths,8,15-19 years,0.683012345176638,0.462676698175821,-0.22033564700081698,-32.25939451267673
Sub-Saharan Africa,Male,Diabetes mellitus type 1,DALYs (Disability-Adjusted Life Years),8,15-19 years,50.3218488992069,34.7071718817138,-15.6146770174931,-31.02961707303087
Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLDs (Years Lived with Disability),8,15-19 years,0.73091948993,1.13942836234,0.4085088724099999,55.88972219760109
Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLLs (Years of Life Lost),8,15-19 years,49.5909294092813,33.56774351937,-16.023185889911304,-32.31071907862337
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Prevalence,8,15-19 years,13.76568503499,21.45498718077,7.689302145780001,55.858477992450936
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Incidence,8,15-19 years,0.78692912827,0.89287971465,0.1059505863800001,13.463802847522487
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Deaths,8,15-19 years,1.59407701879326,1.82424675091527,0.23016973212200997,14.439059682088118
Sub-Saharan Africa,Male,Diabetes mellitus type 2,DALYs (Disability-Adjusted Life Years),8,15-19 years,159.798296062289,187.796382924653,27.998086862363976,17.520891994649546
Sub-Saharan Africa,Male,Diabetes mellitus type 2,YLDs (Years Lived with Disability),8,15-19 years,44.03528877911,55.37597815655,11.34068937744,25.753639165005172
Sub-Saharan Africa,Male,Diabetes mellitus type 2,YLLs (Years of Life Lost),8,15-19 years,115.763007283177,132.420404768095,16.657397484918008,14.38922318610041
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Prevalence,8,15-19 years,849.71424067167,1068.56472600821,218.85048533654003,25.755774690035338
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Incidence,8,15-19 years,108.85673101806,153.51958870162,44.66285768355999,41.02902711284813
Sub-Saharan Africa,Male,Diabetes mellitus,Deaths,9,20-24 years,2.90389931390457,2.65855300423282,-0.24534630967175008,-8.44885731736541
Sub-Saharan Africa,Male,Diabetes mellitus,DALYs (Disability-Adjusted Life Years),9,20-24 years,273.863642634825,282.500305074958,8.636662440133023,3.1536360055099744
Sub-Saharan Africa,Male,Diabetes mellitus,YLDs (Years Lived with Disability),9,20-24 years,77.27245921909,102.49421005614,25.22175083705001,32.640026073893914
Sub-Saharan Africa,Male,Diabetes mellitus,YLLs (Years of Life Lost),9,20-24 years,196.591183415735,180.006095018817,-16.585088396917996,-8.436333770800497
Sub-Saharan Africa,Male,Diabetes mellitus,Prevalence,9,20-24 years,1412.05195027978,1867.85913220525,455.8071819254701,32.27977425583794
Sub-Saharan Africa,Male,Diabetes mellitus,Incidence,9,20-24 years,119.49628935864,166.54543036224,47.04914100360001,39.37288869480548
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Deaths,9,20-24 years,1.09919039790652,0.732454221926389,-0.3667361759801311,-33.36420848277096
Sub-Saharan Africa,Male,Diabetes mellitus type 1,DALYs (Disability-Adjusted Life Years),9,20-24 years,75.3534721381427,50.9228710752336,-24.430601062909105,-32.42133423941155
Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLDs (Years Lived with Disability),9,20-24 years,0.9368782828,1.33081888576,0.3939406029600001,42.04821588805005
Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLLs (Years of Life Lost),9,20-24 years,74.4165938553394,49.5920521894757,-24.8245416658637,-33.3588792227186
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Prevalence,9,20-24 years,16.8748082331,23.36309300511,6.488284772009997,38.44953188435767
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Incidence,9,20-24 years,0.71376262014,0.83538494346,0.12162232332,17.039603908669875
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Deaths,9,20-24 years,1.80470891599805,1.92609878230643,0.12138986630837989,6.726285066378601
Sub-Saharan Africa,Male,Diabetes mellitus type 2,DALYs (Disability-Adjusted Life Years),9,20-24 years,198.510170496683,231.577433999724,33.067263503041005,16.657717546816354
Sub-Saharan Africa,Male,Diabetes mellitus type 2,YLDs (Years Lived with Disability),9,20-24 years,76.33558093628,101.16339117038,24.8278102341,32.524557918573585
Sub-Saharan Africa,Male,Diabetes mellitus type 2,YLLs (Years of Life Lost),9,20-24 years,122.174589560395,130.414042829341,8.239453268946008,6.743999139749901
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Prevalence,9,20-24 years,1395.17714204668,1844.49603920014,449.31889715346006,32.205150415116734
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Incidence,9,20-24 years,118.7825267385,165.71004541878,46.92751868028,39.50708910544649
Sub-Saharan Africa,Male,Diabetes mellitus,Deaths,10,25-29 years,3.41121990553705,3.33101573388579,-0.08020417165125959,-2.3511873720328924
Sub-Saharan Africa,Male,Diabetes mellitus,DALYs (Disability-Adjusted Life Years),10,25-29 years,328.076974533318,361.498812236177,33.42183770285902,10.187193950566265
Sub-Saharan Africa,Male,Diabetes mellitus,YLDs (Years Lived with Disability),10,25-29 years,114.05599974067,152.56921775944,38.51321801876999,33.76693738719383
Sub-Saharan Africa,Male,Diabetes mellitus,YLLs (Years of Life Lost),10,25-29 years,214.020974792646,208.929594476729,-5.091380315917007,-2.3789165154722736
Sub-Saharan Africa,Male,Diabetes mellitus,Prevalence,10,25-29 years,1982.83733075356,2651.48128199185,668.6439512382901,33.721573669594875
Sub-Saharan Africa,Male,Diabetes mellitus,Incidence,10,25-29 years,116.67564714762,152.31008654308,35.63443939545999,30.541454250838385
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Deaths,10,25-29 years,1.17132715422433,0.819226181923232,-0.35210097230109794,-30.060002539108243
Sub-Saharan Africa,Male,Diabetes mellitus type 1,DALYs (Disability-Adjusted Life Years),10,25-29 years,74.6620455948625,52.8319617436154,-21.830083851247103,-29.238528997321268
Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLDs (Years Lived with Disability),10,25-29 years,1.17117307378,1.45021761256,0.27904453878,23.826071912614456
Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLLs (Years of Life Lost),10,25-29 years,73.4908725210821,51.3817441310515,-22.109128390030598,-30.084182744854772
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Prevalence,10,25-29 years,19.5754370042,24.20945077649,4.63401377229,23.672594237848955
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Incidence,10,25-29 years,0.67977552966,0.75809745766,0.07832192800000004,11.52173395226126
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Deaths,10,25-29 years,2.23989275131272,2.51178955196256,0.2718968006498401,12.138831222632929
Sub-Saharan Africa,Male,Diabetes mellitus type 2,DALYs (Disability-Adjusted Life Years),10,25-29 years,253.414928938456,308.666850492561,55.251921554105024,21.802946568914816
Sub-Saharan Africa,Male,Diabetes mellitus type 2,YLDs (Years Lived with Disability),10,25-29 years,112.88482666689,151.11900014688,38.234173479990005,33.870073249804065
Sub-Saharan Africa,Male,Diabetes mellitus type 2,YLLs (Years of Life Lost),10,25-29 years,140.530102271564,157.547850345677,17.017748074113,12.1096816973971
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Prevalence,10,25-29 years,1963.26189374936,2627.27183121535,664.0099374659901,33.82177077750388
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Incidence,10,25-29 years,115.99587161796,151.55198908541,35.55611746745001,30.65291632495026
Sub-Saharan Africa,Male,Diabetes mellitus,Deaths,11,30-34 years,5.25064173026622,5.67920954813917,0.42856781787294995,8.162198829955592
Sub-Saharan Africa,Male,Diabetes mellitus,DALYs (Disability-Adjusted Life Years),11,30-34 years,467.064287717764,546.59507284051,79.53078512274607,17.027802641764957
Sub-Saharan Africa,Male,Diabetes mellitus,YLDs (Years Lived with Disability),11,30-34 years,163.49408884123,218.68652863537,55.19243979414,33.758064395672235
