location_name,sex_name,cause_name,measure_name,count_1990_reconstructed,count_2023_reconstructed,observed_change,population_size_effect,age_structure_effect,age_specific_rate_effect,decomposition_error,population_size_pct,age_structure_pct,age_specific_rate_pct
Eastern Sub-Saharan Africa,Male,Diabetes mellitus,YLDs (Years Lived with Disability),125835.501654632,366059.92406796914,240224.42241333716,192101.33183697428,13843.371546946262,34279.71902941659,-2.9103830456733704e-11,79.96744456999427,5.762682831276393,14.269872598729327
Eastern Sub-Saharan Africa,Male,Diabetes mellitus,YLLs (Years of Life Lost),515785.3253706732,1135598.6825913999,619813.3572207267,682566.1539491629,26399.865773584705,-89152.66250202095,0,110.12446666361353,4.25932508004716,-14.383791743660678
Eastern Sub-Saharan Africa,Male,Diabetes mellitus type 1,DALYs (Disability-Adjusted Life Years),118924.1706731777,135914.47475330363,16990.304080125934,119389.20530880608,-10648.845166809831,-91750.05606187032,0,702.6902211153431,-62.67601283997091,-540.0142082753722
Eastern Sub-Saharan Africa,Male,Diabetes mellitus type 1,Deaths,1567.8673436011588,1895.4736511000547,327.60630749889583,1611.4118721606926,-88.7880926493537,-1195.0174720124432,-2.2737367544323206e-13,491.87449547689914,-27.102070569765495,-364.77242490713365
Eastern Sub-Saharan Africa,Male,Diabetes mellitus type 1,Incidence,894.5218456219992,3909.2138167660637,3014.6919711440646,1756.4796105327557,-35.426686749487054,1293.639047360796,0,58.26398276657691,-1.1751345440457306,42.91115177746882
Eastern Sub-Saharan Africa,Male,Diabetes mellitus type 1,Prevalence,16442.284456980335,61183.29610935138,44741.011652371046,28932.007384984798,2661.208442218909,13147.79582516734,0,64.66551898687688,5.948029210640074,29.386451802483045
Eastern Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLDs (Years Lived with Disability),1226.1684372012073,4279.204139359006,3053.035702157799,2075.5596991455054,208.46250251067127,769.0135005016223,0,67.98347289809152,6.828040116377803,25.18848698553068
Eastern Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLLs (Years of Life Lost),117698.00223597465,131635.27061394608,13937.268377971428,117482.34710717404,-11009.760866146513,-92535.31786305609,0,842.9366782723432,-78.99511272630733,-663.9415655460358
Eastern Sub-Saharan Africa,Male,Diabetes mellitus type 2,DALYs (Disability-Adjusted Life Years),522696.65635213105,1365744.1319060673,843047.4755539362,754353.2920031281,51801.7027979556,36892.48075285251,0,89.47933703347722,6.144577179822353,4.376085786700421
Eastern Sub-Saharan Africa,Male,Diabetes mellitus type 2,Deaths,13991.058822509103,36814.22331777544,22823.164495266334,22926.26420050288,-1337.6389029681375,1234.5391977315878,-3.637978807091713e-12,100.45173273521264,-5.860882715214939,5.409149980002287
