location_name,measure_name,year,Diabetes mellitus,Diabetes mellitus type 1,Diabetes mellitus type 2,t1dm_share_pct,t2dm_share_pct,component_sum_difference_pct
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),1990,239768.382891257,2555.40415269429,237212.978738563,1.0657802842392492,98.93421971576086,1.213831035843173e-13
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),1990,889106.58038239,184281.991272062,704824.589110328,20.72664800127847,79.27335199872152,0
Eastern Sub-Saharan Africa,Prevalence,1990,2634294.59862806,34102.0684731904,2600192.53015487,1.294542701903984,98.70545729809602,1.7676887298415884e-14
Eastern Sub-Saharan Africa,Incidence,1990,165396.666600139,1831.94270776807,163564.723892371,1.1076055796196624,98.89239442038038,3.5192765434740923e-14
Eastern Sub-Saharan Africa,Deaths,2023,66762.953811433,2887.92562129788,63875.0281901352,4.325640877805693,95.67435912219442,1.0898196078522569e-13
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),2023,2619639.41865165,207201.810717154,2412437.60793449,7.909554621979328,92.09044537802043,-2.4886089191862386e-13
Eastern Sub-Saharan Africa,YLDs (Years Lived with Disability),2023,720672.38625602,8915.39393625691,711756.992319762,1.2370938732054737,98.76290612679436,-1.6153709236970554e-13
Eastern Sub-Saharan Africa,YLLs (Years of Life Lost),2023,1898967.03239563,198286.416780897,1700680.61561473,10.441804064957886,89.55819593504195,-1.593918333422496e-13
Eastern Sub-Saharan Africa,Prevalence,2023,7960762.22353446,126572.492989314,7834189.73054515,1.589954447014217,98.41004555298584,4.679564837960881e-14
Eastern Sub-Saharan Africa,Incidence,2023,475929.508966395,7866.65027235452,468062.85869404,1.6529023992311387,98.34709760076875,-9.784249106953762e-14
Southern Sub-Saharan Africa,Deaths,1990,10434.1027321453,232.749785058704,10201.3529470866,2.2306641120338053,97.76933588796624,3.486623527180595e-14
Southern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),1990,411967.403586748,16736.7036415011,395230.699945247,4.062628134115677,95.93737186588433,1.4129190903622212e-14
Southern Sub-Saharan Africa,YLDs (Years Lived with Disability),1990,150683.33298882,485.127927131212,150198.205061689,0.32195194883776973,99.67804805116235,1.3520195575462316e-13
Southern Sub-Saharan Africa,YLLs (Years of Life Lost),1990,261284.070597928,16251.5757143699,245032.494883558,6.219887679022854,93.78011232097711,-3.341630860633626e-14
Southern Sub-Saharan Africa,Prevalence,1990,1674679.59358386,6594.57039852181,1668085.02318534,0.39378102078674343,99.60621897921335,1.1122397122215155e-13
Southern Sub-Saharan Africa,Incidence,1990,101602.852404849,313.013906950898,101289.838497898,0.3080759049004409,99.69192409509945,-1.00256443778449e-13
Southern Sub-Saharan Africa,Deaths,2023,39638.6908738249,358.096879472047,39280.5939943528,0.9034023868545908,99.09659761314528,-1.2848987233560818e-13
Southern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),2023,1395443.33109599,22791.0425430508,1372652.28855294,1.6332474443910647,98.36675255560898,5.005519861655786e-14
Southern Sub-Saharan Africa,YLDs (Years Lived with Disability),2023,457395.944922078,1153.17500985739,456242.769912221,0.25211745374215,99.74788254625793,8.908116281260117e-14
