location_name,year,yll_count,yld_count,yll_to_yld_ratio
Southern Sub-Saharan Africa,2021,764986.06735379,430950.058736231,1.7751153569792422
Southern Sub-Saharan Africa,2022,868383.404808052,442332.396259135,1.963191961864173
Southern Sub-Saharan Africa,2023,938047.386173917,457395.944922078,2.0508432498974662
Sub-Saharan Africa,1990,2082248.59175318,821286.573170817,2.53534960849786
Sub-Saharan Africa,1991,2148557.01299616,849059.15956564,2.530515086952615
Sub-Saharan Africa,1992,2217019.91217963,877820.880328227,2.525594870049869
Sub-Saharan Africa,1993,2283957.36087545,907692.686301012,2.5162231615888957
Sub-Saharan Africa,1994,2361377.3139977,937722.789067503,2.518204038046167
Sub-Saharan Africa,1995,2415133.83599384,967463.757240122,2.4963558768170064
Sub-Saharan Africa,1996,2505281.93752394,999479.754349006,2.5065859779778257
Sub-Saharan Africa,1997,2596804.39588692,1035109.59463119,2.5087241093656005
Sub-Saharan Africa,1998,2675261.51569304,1072343.9707836,2.494779276595486
Sub-Saharan Africa,1999,2716467.04737739,1110177.40369588,2.4468765427345467
Sub-Saharan Africa,2000,2784621.02490003,1148189.62843946,2.4252274675958314
Sub-Saharan Africa,2001,2846426.56787128,1188936.67329984,2.394094346481173
Sub-Saharan Africa,2002,2929404.49854049,1233169.03529189,2.375509289241197
Sub-Saharan Africa,2003,2996522.6159707,1280113.16546398,2.340826340056118
Sub-Saharan Africa,2004,3060397.22586273,1328479.89033176,2.303683516879175
Sub-Saharan Africa,2005,3147664.52543503,1375887.51600785,2.287733909068386
Sub-Saharan Africa,2006,3264443.84674006,1425076.09667069,2.29071546029476
Sub-Saharan Africa,2007,3369976.00656183,1478259.74569804,2.2796913846629265
Sub-Saharan Africa,2008,3484282.13200237,1533655.31771939,2.271880840333566
Sub-Saharan Africa,2009,3617503.37513795,1590683.69605172,2.274181463050797
Sub-Saharan Africa,2010,3750340.25029221,1647660.93603779,2.276160202784703
Sub-Saharan Africa,2011,3878754.56725021,1706383.70922854,2.2730846211628473
Sub-Saharan Africa,2012,4003215.6859579,1769177.59565475,2.2627551331139037
Sub-Saharan Africa,2013,4152998.25600452,1835288.22634358,2.262858877637156
Sub-Saharan Africa,2014,4291319.30861218,1904743.56763118,2.2529643262946135
Sub-Saharan Africa,2015,4397856.6268509,1977567.98839159,2.223871266457846
Sub-Saharan Africa,2016,4529483.64488618,2057579.4347944,2.201365142113593
Sub-Saharan Africa,2017,4636450.01086923,2146992.54821278,2.15950913044796
Sub-Saharan Africa,2018,4764464.56373257,2242370.40697933,2.1247446670288173
Sub-Saharan Africa,2019,4892947.70800578,2341512.3048934,2.0896527845616157
Sub-Saharan Africa,2020,4859312.23220653,2430476.55447306,1.999324874483331
Sub-Saharan Africa,2021,4981317.49872187,2513999.84042286,1.981431111739451
Sub-Saharan Africa,2022,5077192.14209018,2609350.35644816,1.9457686582959441
Sub-Saharan Africa,2023,5277445.64041087,2721495.82597614,1.939170947843717
Western Sub-Saharan Africa,1990,714707.533553349,303643.734336497,2.353770069107741
Western Sub-Saharan Africa,1991,737856.826476548,314140.941361111,2.3488082237213628
Western Sub-Saharan Africa,1992,757624.080943287,325318.143463799,2.3288712792853943
Western Sub-Saharan Africa,1993,780606.05868041,337343.790033876,2.313977852095696
Western Sub-Saharan Africa,1994,802610.225266707,349758.399022407,2.294756115964747
Western Sub-Saharan Africa,1995,825946.778820034,362491.685070719,2.278526136837867
Western Sub-Saharan Africa,1996,852314.406057937,375922.125306184,2.267263214059926
Western Sub-Saharan Africa,1997,878142.743581659,390751.718143883,2.2473163976167303
Western Sub-Saharan Africa,1998,907062.864308927,406575.512751049,2.230982525660202
Western Sub-Saharan Africa,1999,931701.906594411,423055.671228924,2.2023151323983745
Western Sub-Saharan Africa,2000,963052.17754393,439699.10794181,2.19025274363618
Western Sub-Saharan Africa,2001,993648.869078776,457127.632514532,2.173679293052117
Western Sub-Saharan Africa,2002,1031029.82170627,476255.713964089,2.1648660403978113
Western Sub-Saharan Africa,2003,1052805.29052637,496722.572168573,2.1195036213677017
Western Sub-Saharan Africa,2004,1086042.89820425,517575.638583814,2.0983269250768277
Western Sub-Saharan Africa,2005,1120344.01441504,537789.008956769,2.0832408170415033
Western Sub-Saharan Africa,2006,1161211.3364078,557791.308154964,2.0818024939269857
Western Sub-Saharan Africa,2007,1194743.50957765,578756.380314102,2.0643288786367076
Western Sub-Saharan Africa,2008,1221915.49116739,600289.981469222,2.035542036161801
Western Sub-Saharan Africa,2009,1259198.66141248,622616.943211371,2.0224291599224875
Western Sub-Saharan Africa,2010,1298158.42640497,645572.674638238,2.0108633425855946
Western Sub-Saharan Africa,2011,1332690.90209186,669758.160537596,1.9898091290476352
Western Sub-Saharan Africa,2012,1376680.11099057,696214.087667179,1.9773804284878012
Western Sub-Saharan Africa,2013,1441771.43049795,724231.501438566,1.990760451090721
Western Sub-Saharan Africa,2014,1485309.41642328,753391.565671674,1.9714972719386321
Western Sub-Saharan Africa,2015,1505468.84071998,783594.464355032,1.9212346554274282
Western Sub-Saharan Africa,2016,1562283.07739851,815616.834892803,1.9154620289364697
Western Sub-Saharan Africa,2017,1604462.38771498,850902.094704827,1.885601642891194
Western Sub-Saharan Africa,2018,1648682.02175717,888562.371308552,1.8554488407259682
Western Sub-Saharan Africa,2019,1702614.5271236,927736.943610344,1.835234156460099
Western Sub-Saharan Africa,2020,1722343.24762616,964398.360085941,1.7859251103171472
Western Sub-Saharan Africa,2021,1797048.09184706,1001062.07479461,1.7951415172887897
Western Sub-Saharan Africa,2022,1785461.62150576,1042940.45790654,1.7119497167553153
Western Sub-Saharan Africa,2023,1826208.04306229,1094467.53123161,1.6685812881148228
