location_name,measure_name,cause_name,sex_name,metric_name,annual_change_pct,lower_ci,upper_ci,p_value,adjusted_r_squared
Southern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Female,Rate,-0.1847626663705637,-0.3905230761827472,0.021422776757251683,0.07727290144883778,0.06601347189028994
Southern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Male,Rate,-0.0166855862561599,-0.10678147227981549,0.0734915592243146,0.7086366722397566,-0.026689088376061543
Southern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Both,Rate,1.1793755593677124,0.9134664138296777,1.4459853811999324,2.3025132424481604e-10,0.7114468462854762
Southern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Female,Rate,0.970654885791844,0.6746618310143226,1.2675181882253694,1.445024851999344e-7,0.5709814834685197
Southern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Male,Rate,1.4469317829647776,1.2106713177220563,1.6837437612713835,6.670333200052805e-14,0.8258595570781733
Southern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Both,Rate,1.2770978867927996,0.9037246364520302,1.6518527272044503,6.244838552189615e-8,0.5924912290938815
Southern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Female,Rate,1.0323567610396545,0.6286687077549757,1.437664273733441,1.0314220040617388e-5,0.4435531861330735
Southern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Male,Rate,1.6067374658661704,1.259857096888961,1.9548061240018733,7.947791991781786e-11,0.7298159529180441
Southern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Both,Rate,-0.11657186572917588,-0.2574735524020211,0.024528866285833395,0.1021006424482803,0.05261232265911209
Southern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Female,Rate,-0.2170943714238871,-0.4338726804477111,1.5591372803935855e-4,0.05015485773122229,0.08696393729014407
Southern Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Male,Rate,-0.03831391177603338,-0.13286371576757272,0.05632540780360351,0.4155538076194091,-0.00977938403893508
