location_name,measure_name,cause_name,sex_name,model,rmse,mae,mape,mase,selected
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Both,ETS,1.0734808682604173,0.8318133700872211,0.15448879886283734,0.260229136481899,FALSE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Female,ARIMA,1.2742440820731935,0.9344826090218463,0.19725447267830923,0.311726442939848,TRUE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Female,ETS,1.3724003792143935,1.0169850673143546,0.21470609463436047,0.339247766085965,FALSE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Male,ARIMA,1.0029431481102877,0.7578649422295269,0.12386171048615678,0.20340439077002673,FALSE
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Male,ETS,0.9301712208363224,0.6779301533057855,0.11063678254884204,0.18195058530103056,TRUE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Both,ARIMA,16.457121040780407,9.3705327166291,1.148468867276501,1.5943869269046238,FALSE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Both,ETS,9.940487614386946,6.4870934532447055,0.7937560252006993,1.1037725717671512,TRUE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Female,ARIMA,12.166772320468267,5.233247231224343,0.9483050603212809,1.2667884382901111,FALSE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Female,ETS,12.185216065535851,5.15781824705543,0.9369641185535617,1.248529685963825,TRUE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Male,ARIMA,13.263950238460547,8.562231620610149,0.7511652710162834,1.0179714897082666,FALSE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus,Male,ETS,11.584957649460929,8.197891332016919,0.7217478765176443,0.9746547420688749,TRUE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Both,ARIMA,0.6989101900506949,0.4798905196361372,1.1340387106134737,0.7741930740902174,FALSE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Both,ETS,0.7513627050367254,0.4490504422009639,1.0518902452559664,0.7244396962305745,TRUE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Female,ARIMA,0.4723051252254458,0.3214550831651476,1.2949739140600953,0.7921340379166553,FALSE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Female,ETS,0.4879664169637122,0.3062913265544793,1.2225819874989725,0.754767300281889,TRUE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Male,ARIMA,0.9616077145014014,0.7222505463705124,1.1985879998719216,0.8273254574663899,FALSE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Male,ETS,1.0308502763466891,0.6310910114345412,1.0510641725934982,0.7229037933744443,TRUE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Both,ARIMA,9.602930352390656,5.817331549502018,0.7473346000092381,1.000629161732071,FALSE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Both,ETS,9.03532744238479,5.735076028405496,0.7402499590669702,0.9864805314842914,TRUE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Female,ARIMA,11.804797003190384,5.071796403592037,0.9647639335406669,1.2770466078573364,FALSE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Female,ETS,11.736694824005175,5.010810523077933,0.9542454521636157,1.261690744640396,TRUE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Male,ARIMA,13.056957044686918,7.77987520646163,0.7171737474371813,0.9210079517224493,FALSE
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Male,ETS,11.102937183840494,7.4107914086852675,0.6883248470905605,0.8773145628719933,TRUE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Both,ARIMA,5.401966057801962,3.4004370318683943,0.2907947966948111,1.3305058294656498,TRUE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Both,ETS,7.470840856268777,4.411295182495486,0.378995549150775,1.726029301762744,FALSE
