location_name,measure_name,cause_name,sex_name,metric_name,value_1990,value_2023,lower_1990,lower_2023,upper_1990,upper_2023,absolute_change,relative_change_pct
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Male,Number,3135.35325385349,7195.45636089715,2211.51642412876,5992.30712257762,4141.32055628901,9063.26797716752,4060.10310704366,129.49427953783555
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Both,Number,1668085.02318534,4962532.44484704,1498668.19724828,4477846.31543149,1831554.09948992,5410923.9205196,3294447.4216617,197.49877109805186
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Female,Number,847125.735077209,2460952.20425143,761434.674748408,2230249.93821928,926863.496621778,2677352.89489346,1613826.4691742212,190.50613177595568
Southern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Male,Number,820959.288108128,2501580.24059562,733852.945587227,2261753.8555223,902575.73320605,2742731.74105859,1680620.952487492,204.71428691189115
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,Number,101602.852404849,289541.629278456,93408.9880845588,265290.236419214,110626.869347223,313955.75205647,187938.77687360696,184.97391798090658
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,Number,50896.1293971555,141852.46781305,46541.9225326213,130292.244435747,55224.5345906835,152867.384242289,90956.3384158945,178.70973587429205
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,Number,50706.7230076935,147689.161465406,45855.7704459551,134495.15298708,55555.2916077446,161009.673625413,96982.4384577125,191.26149888052873
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,Number,313.013906950898,605.25278193162,249.31870762871,396.34131883888,392.584686294806,1095.95790030216,292.238874980722,93.36290448799933
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,Number,160.822597848057,306.185996824738,128.62830618384,200.888295415597,201.787009357355,547.101740289362,145.36339897668103,90.38742124662006
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,Number,152.191309102841,299.066785106882,120.573637886419,195.494044806649,190.924553916522,549.114921439957,146.875476004041,96.50713754278316
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,Number,101289.838497898,288936.376496524,93113.4701253786,264844.093087308,110347.402928995,313461.49496192,187646.537998626,185.2570216137921
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,Number,50735.3067993075,141546.281816225,46363.8885242611,129989.652299731,55056.0190203734,152640.992488422,90810.97501691751,178.98970311963697
Southern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Male,Number,50554.5316985906,147390.094680299,45712.1621787719,134190.373497365,55429.1773993185,160761.344329407,96835.56298170838,191.5467510589324
Southern Sub-Saharan Africa,Deaths,Diabetes mellitus,Both,Number,10434.1027321453,39638.6908738249,8433.02003465584,32353.7157574647,13016.6689886627,47893.7894692165,29204.588141679596,279.8955395724285
Southern Sub-Saharan Africa,Deaths,Diabetes mellitus,Female,Number,6266.51651595457,22196.0991291825,4410.16523639361,15298.8854058672,8705.13087154942,29479.317707588,15929.58261322793,254.20155795761752
Southern Sub-Saharan Africa,Deaths,Diabetes mellitus,Male,Number,4167.58621619076,17442.5917446424,3007.34604389806,13597.1149969896,5708.29108840031,22040.4865869913,13275.005528451638,318.52983573271354
Southern Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Both,Number,232.749785058704,358.096879472047,171.212394167034,253.803419554178,307.241561960558,507.053670220042,125.34709441334303,53.85487010513374
