location_name,measure_name,cause_name,sex_name,selected_model,year,forecast,lower_95,upper_95
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Both,ETS,2030,27.058660130986823,22.45287614767689,31.664444114296757
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Female,ARIMA,2024,23.4017128957168,22.67291049628279,24.130515295150808
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Female,ARIMA,2025,23.4017128957168,22.37103065814717,24.432395133286427
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Female,ARIMA,2026,23.4017128957168,22.139390111218987,24.66403568021461
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Female,ARIMA,2027,23.4017128957168,21.94410809684878,24.859317694584817
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Female,ARIMA,2028,23.4017128957168,21.7720611884174,25.031364603016197
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Female,ARIMA,2029,23.4017128957168,21.616518893787426,25.18690689764617
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Female,ARIMA,2030,23.4017128957168,21.47348299190725,25.329942799526346
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Male,ETS,2024,47.22348402660437,46.558297962334386,47.88867009087435
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Male,ETS,2025,46.274278385413005,45.10411531069838,47.44444146012763
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Male,ETS,2026,45.32507274422164,43.4704864644917,47.17965902395159
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Male,ETS,2027,44.37586710303028,41.71516306761268,47.03657113844788
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Male,ETS,2028,43.426661461838926,39.86330428043093,46.99001864324692
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Male,ETS,2029,42.47745582064756,37.92931545134037,47.025596189954754
Central Sub-Saharan Africa,Deaths,Diabetes mellitus,Male,ETS,2030,41.5282501794562,35.92302293324143,47.133477425670975
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Both,ARIMA,2024,0.6039014835052816,0.585755494077453,0.6220474729331102
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Both,ARIMA,2025,0.5945795793783113,0.5647621428053526,0.62439701595127
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Both,ARIMA,2026,0.5854863768685612,0.5463586233467106,0.6246141303904118
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Both,ARIMA,2027,0.5764626716397664,0.5295697811418989,0.6233555621376339
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Both,ARIMA,2028,0.5674600850725662,0.5138417375187261,0.6210784326264063
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Both,ARIMA,2029,0.5584639159919413,0.4988538633136359,0.6180739686702468
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Both,ARIMA,2030,0.5494696970412409,0.484411768374878,0.6145276257076039
